tanda,primera_subida,ultima_subida,sesiones,oradores_detectados,nombre_real,fecha_inicio,fecha_fin,ciudad,pais,sede
1,2015-08-16,2015-10-23,20,"James Arnold, Rodney Brown, Ryan Townsend, Edgar Aponte, Sugel Michelén, Dardo Leandi, Greg Travis, Nicolás Tranchini",,,,,,
2,2016-07-05,2016-07-05,1,,,,,,,
3,2017-11-01,2017-11-07,8,"Dardo Leandi, Rodney Brown, Sugel Michelén, Greg Travis, Sam Masters, Matthew Hall",,,,,,
4,2018-05-30,2018-06-23,11,"Dardo Leandi, Rodney Brown, Sugel Michelén, Greg Travis",,,,,,
5,2019-03-17,2019-04-06,13,"Otto Sanchez, Felix Cabrera, Greg Travis, José Abella, Joselo Mercado",,,,,,
6,2019-05-23,2019-05-30,8,"Dardo Leandi, Sugel Michelén, Ricardo Daglio, Sam Masters, John Piper, Greg Travis",,,,,,
7,2021-01-05,2021-01-06,7,"Greg Travis, José Abella, Joselo Mercado, Dardo Leandi",,,,,,
8,2021-03-05,2021-03-06,12,"Sugel Michelén, Joselo Mercado, Augustus Nicodemus, David Barceló, Josías Grauman, Ricardo Daglio, Greg Travis, Miguel Núñez",,,,,,
9,2021-12-27,2022-01-08,5,Nicolás Tranchini,,,,,,
10,2023-08-17,2023-08-17,6,"Josías Grauman, Dardo Leandi, Joselo Mercado, Ricardo Daglio, Greg Travis",,,,,,
